Timestamp,FruitRecognized,FruitGiven
2024-11-12T00:26:40.587133,pear,pear
2024-11-12T00:27:04.998675,pear,pear
2024-11-12T00:27:18.705789,pear,pear
2024-11-12T00:27:26.996085,apple,apple
2024-11-12T00:27:47.913089,apple,apple
2024-11-12T00:28:06.906523,pear,pear
2024-11-12T00:28:17.783449,apple,apple
2024-11-12T00:28:45.031380,orange,orange
2024-11-12T00:28:53.028369,apple,apple
2024-11-12T00:29:13.884752,orange,orange
2024-11-12T00:29:26.733481,pear,pear
2024-11-12T00:29:41.263795,apple,apple
2024-11-12T00:30:12.168913,pear,pear
2024-11-12T00:30:22.505889,orange,orange
2024-11-12T00:30:35.395065,orange,orange
2024-11-12T00:30:51.108504,pear,pear
2024-11-12T00:30:58.853179,pear,pear
2024-11-12T00:31:07.510325,orange,orange
2024-11-12T00:31:43.587244,pear,pear
2024-11-12T00:31:51.702430,pear,pear
2024-11-12T00:32:21.753349,orange,orange
2024-11-12T00:32:31.091787,orange,orange
2024-11-12T00:33:04.093590,orange,orange
2024-11-12T00:33:12.299222,orange,orange
2024-11-12T00:33:25.310052,apple,apple
